Wall time,Step,Value
1528863764,5,17.35796738
1528863764,7,18.29601097
1528863765,15,11.32142258
1528863765,17,8.511910439
1528863765,18,11.72952461
1528863765,20,12.22699356
1528863766,43,16.96121407
1528863767,44,10.56586266
1528863767,46,16.52482414
1528863767,56,7.104465961
1528863767,60,7.307630539
1528863768,74,6.326055527
1528863768,77,8.810546875
1528863769,80,10.35380745
1528863770,104,7.790962219
1528863770,106,8.064893723
1528863772,139,10.27431202
1528863772,144,8.883439064
1528863773,160,10.31613255
1528863774,165,14.25813389
1528863774,172,7.586368561
1528863775,184,13.41236687
1528863775,190,7.014040947
1528863775,193,6.050086021
1528863776,200,7.596581936
1528863777,216,6.886970997
1528863777,216,7.11239624
1528863777,221,11.444067
1528863777,224,9.028779984
1528863777,230,6.611067772
1528863778,240,7.98622942
1528863778,251,8.483399391
1528863778,252,6.701177597
1528863779,260,5.314651489
1528863779,263,5.897620678
1528863779,265,7.122302055
1528863780,274,11.5497427
1528863780,286,11.00224304
1528863781,288,7.1515975
1528863781,298,6.672311783
1528863781,305,6.186590195
1528863783,335,9.050504684
1528863783,338,6.492355347
1528863784,351,8.997457504
1528863784,353,5.188350677
1528863784,355,4.999893188
1528863785,372,5.502505302
1528863785,373,8.389374733
1528863786,386,6.951745033
1528863787,415,8.621644974
1528863788,420,7.594177246
1528863790,461,5.914406776
1528863790,473,4.407549381
1528863791,476,8.114963531
1528863791,479,13.59434891
1528863792,499,6.054430485
1528863793,519,7.560823917
1528863794,543,8.769296646
1528863795,551,6.978823185
1528863795,558,7.916279793
1528863795,565,8.077594757
1528863799,630,6.374223232
1528863799,633,6.252353668
1528863799,636,6.222634315
1528863800,647,15.17776299
1528863800,653,5.159253597
1528863800,655,6.25923872
1528863801,662,7.987642288
1528863801,663,7.972858429
1528863801,670,5.20640564
1528863801,672,9.054571152
1528863802,680,5.037398815
1528863802,682,7.722867489
1528863802,687,4.998207092
1528863803,704,7.762978554
1528863804,720,5.516992569
1528863804,721,8.32824707
1528863806,751,8.303962708
1528863806,753,5.869460106
1528863806,755,10.10574913
1528863806,763,5.763190269
1528863806,764,10.50669765
1528863807,778,7.042504787
1528863807,783,7.252873421
1528863807,783,8.454257965
1528863807,784,6.399961948
1528863808,797,5.828086376
1528863808,804,7.464092255
1528863809,814,11.77357483
1528863810,832,7.880919456
1528863810,833,9.153003693
1528863812,864,4.714227676
1528863812,864,6.420858383
1528863813,890,10.202034
1528863815,920,12.03142071
1528863815,934,8.574859619
1528863815,935,4.990913391
1528863815,937,6.06738615
1528863816,943,12.25084686
1528863817,962,8.474111557
1528863817,967,9.03126812
1528863817,968,8.814897537
1528863817,973,4.710236549
1528863818,982,6.671413898
1528863818,987,7.142502785
1528863818,990,9.759391785
1528863818,990,18.10475349
1528863819,1013,6.499834061
1528863820,1014,5.796079636
1528863820,1030,8.949884415
1528863821,1046,6.847403049
1528863822,1053,11.90075397
1528863822,1061,7.684700966
1528863822,1061,7.917496681
1528863822,1065,9.487928391
1528863823,1070,6.58932209
1528863823,1076,11.77866364
1528863823,1077,4.937111378
1528863824,1088,8.968776703
1528863824,1088,8.459991455
1528863824,1089,8.636367798
1528863824,1091,5.189754009
1528863824,1092,8.309513092
1528863824,1093,10.51926422
1528863824,1097,7.499247551
1528863825,1108,7.940603256
1528863825,1113,11.06683064
1528863825,1116,8.123160362
1528863827,1144,8.197389603
1528863828,1159,8.087252617
1528863828,1162,7.182256699
1528863829,1181,7.64228344
1528863829,1182,9.517817497
1528863830,1188,6.285518646
1528863830,1200,5.457349777
1528863831,1209,8.136815071
1528863831,1218,7.605230808
1528863832,1221,18.94599152
1528863833,1240,7.37740612
1528863833,1249,12.60811996
1528863833,1252,14.50571251
1528863834,1267,6.868989468
1528863835,1280,11.31265259
1528863835,1287,10.33885384
1528863836,1299,7.921991348
1528863836,1306,5.494266033
1528863837,1313,10.7714138
1528863837,1315,6.546473503
1528863837,1323,7.067148685
1528863838,1331,6.639450073
1528863839,1359,12.22659302
1528863840,1369,7.937582493
1528863842,1407,9.69797802
1528863842,1410,9.346364975
1528863842,1413,8.983300209
1528863843,1419,8.875484467
1528863843,1421,6.963353157
1528863843,1425,4.611725807
1528863843,1427,10.62231922
1528863843,1429,6.983647823
1528863844,1445,6.59360218
1528863844,1450,7.212978363
1528863845,1463,5.761034012
1528863845,1467,7.240626335
1528863846,1472,12.83002281
1528863847,1494,9.498872757
1528863847,1497,9.756088257
1528863848,1525,11.51789665
1528863849,1540,9.75759697
1528863850,1547,8.39911747
1528863850,1554,10.4396677
1528863852,1589,12.14775276
1528863852,1591,9.160124779
1528863853,1614,3.743945599
1528863855,1639,14.5399189
1528863855,1649,9.28935051
1528863855,1652,6.254621983
1528863856,1670,13.73114395
1528863857,1686,13.74079514
1528863858,1699,10.44851685
1528863858,1706,10.85535049
1528863858,1707,11.67832184
1528863859,1712,12.14594936
1528863859,1713,13.76586914
1528863859,1724,14.51513386
1528863860,1732,39.91070175
1528863860,1737,10.32573128
1528863862,1767,14.34539413
1528863863,1783,14.53345108
1528863863,1798,13.62170792
1528863864,1817,8.07744503
1528863865,1823,14.16217804
1528863865,1826,8.42638588
1528863865,1831,21.4899826
1528863865,1832,15.02677345
1528863866,1848,15.10381126
1528863869,1894,13.99840546
1528863869,1895,18.29491425
1528863869,1895,19.27311134
1528863870,1911,15.59751606
1528863870,1913,20.36023712
1528863870,1917,9139.256836
1528863871,1923,19.11072159
